com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
44895,4,0,80,2021-02-11 06:15:00.000,230002,,2021-02-11 06:15:57.294,2021-02-11 06:15:57.294,80,1.3333334,59.86,2.74,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:15:59.999,3bffdefd-344f-3dbe-579a-51dba117c0a2,
39147,4,0,56,2021-02-11 06:26:00.000,,,2021-02-11 06:35:03.370,2021-02-11 06:35:03.370,64,1.1944444,46.76,2.56,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:27:00.000,be5d2882-fadd-4294-9843-a45e3490c6a4,
14262,4,0,23,2021-02-11 06:30:00.000,230002,,2021-02-11 06:30:34.302,2021-02-11 06:30:34.302,23,1.1666666,16.64,0.88,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:30:59.999,32875e3c-b0ac-11c0-88b5-80bee9c56f61,
33883,4,0,53,2021-02-11 06:37:00.000,,,2021-02-11 06:40:28.568,2021-02-11 06:40:28.568,53,1.1388888,38.59,1.98,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:38:00.000,2f449a62-7ed7-45c2-8e92-0c80b5a95aa2,
11683,4,0,22,2021-02-11 06:29:00.000,,,2021-02-11 06:35:03.515,2021-02-11 06:35:03.515,22,1.4722222,17.2,0.76,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:30:00.000,58a72e0b-ee3e-4da0-b65d-d660b7d32ab3,
21196,4,0,34,2021-02-11 06:33:00.000,230002,,2021-02-11 06:34:09.365,2021-02-11 06:34:09.365,34,1.1388888,24.14,1.35,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:33:59.999,1f2dd006-4c22-76e9-03ce-b72c9b0205b1,
978,4,0,2,2021-02-11 06:41:00.000,230002,,2021-02-11 06:42:39.380,2021-02-11 06:42:39.380,2,1.5833334,1.55,0.08,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:41:59.999,bb11331e-b0aa-0e6c-5c54-83852696be41,
5920,4,0,12,2021-02-11 06:54:00.000,230002,,2021-02-11 06:55:00.110,2021-02-11 06:55:00.109,12,1.5555556,9.21,0.45,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:54:59.999,872b839a-dbce-6c37-a248-74d991095ba8,
11215,4,0,17,2021-02-11 07:44:00.000,230002,,2021-02-11 07:45:39.375,2021-02-11 07:45:39.374,17,1.0833334,12.15,0.61,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 07:44:59.999,d278954e-12ac-da10-62ef-c35064d122c9,
4223,4,0,11,2021-02-11 08:04:00.000,230002,,2021-02-11 08:04:28.355,2021-02-11 08:04:28.355,11,2.2777777,9.62,0.43,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:04:59.999,becfb812-ae5d-6afd-8546-9d0b295f0059,
9180,4,0,12,2021-02-11 08:19:00.000,230002,,2021-02-11 08:22:42.326,2021-02-11 08:22:42.326,12,0.8888889,8.16,0.5,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:19:59.999,8c0dc53b-e466-ec9b-ad3c-af6e771d8ca6,
21812,4,0,42,2021-02-11 06:37:00.000,230002,,2021-02-11 06:42:39.369,2021-02-11 06:37:33.286,42,1.5183742,33.12,1.65,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:37:59.999,77fe22e2-ae51-9b27-4402-c5e45925f9e9,
18024,4,0,30,2021-02-11 07:08:00.000,230002,,2021-02-11 07:09:53.383,2021-02-11 07:09:53.382,30,1.2222222,22.03,1.04,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 07:08:59.999,deac96e7-660d-c177-f1f5-99c3e124a180,
10064,4,0,18,2021-02-11 06:45:00.000,230002,,2021-02-11 06:47:18.252,2021-02-11 06:47:18.252,18,1.3055556,13.14,0.73,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:45:59.999,ae14459c-66b1-3aab-7a43-1827d69aead3,
5012,4,0,8,2021-02-11 07:46:00.000,230002,,2021-02-11 07:50:23.288,2021-02-11 07:50:23.288,8,1.0833334,5.43,0.47,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 07:46:59.999,e33e003c-7267-ff70-2bbb-608a87352080,
16641,4,0,26,2021-02-11 07:15:00.000,230002,,2021-02-11 07:16:20.327,2021-02-11 07:16:20.327,26,1.1111112,18.49,0.91,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 07:15:59.999,472565df-b11f-0327-ac54-c90339efd9ab,
13597,4,0,19,2021-02-11 08:07:00.000,230002,,2021-02-11 08:08:29.407,2021-02-11 08:08:29.407,19,0.9722222,13.22,0.75,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:07:59.999,a8c5a1b8-206d-156c-616d-17e941d9f664,
17528,4,0,30,2021-02-11 07:49:00.000,230002,,2021-02-11 07:50:23.307,2021-02-11 07:50:23.307,30,1.25,21.91,1.11,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 07:49:59.999,f51ae4b3-2107-4608-92d1-5b4a61f4f5f5,
14249,4,0,18,2021-02-11 08:22:00.000,230002,,2021-02-11 08:22:42.332,2021-02-11 08:22:42.332,18,0.8611111,12.27,0.67,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:22:59.999,846a8a05-ba7f-452b-c96a-d922cc10db0d,
10831,4,0,15,2021-02-11 08:31:00.000,230002,,2021-02-11 08:32:33.320,2021-02-11 08:32:33.320,15,0.9444444,10.23,0.79,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:31:59.999,cdc4b34f-f576-5791-147a-0a41d39a6977,
7409,4,0,17,2021-02-11 08:14:00.000,230002,,2021-02-11 08:15:00.121,2021-02-11 08:15:00.119,17,1.8611112,13.79,0.55,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:14:59.999,6f252bd5-aabd-9ed1-6193-a77dc7e2d79e,
5976,4,0,11,2021-02-11 08:28:00.000,230002,,2021-02-11 08:28:18.366,2021-02-11 08:28:18.366,11,1.3888888,8.3,0.36,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:28:59.999,d0c0533e-da48-3a84-dadc-4a83c6cb6e0c,
14781,4,0,20,2021-02-11 07:16:00.000,230002,,2021-02-11 07:16:20.333,2021-02-11 07:16:20.333,20,0.9444444,13.96,0.71,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 07:16:59.999,ef74e382-64c7-b85e-1ba6-47711e017538,
5393,4,0,10,2021-02-11 08:36:00.000,230002,,2021-02-11 08:41:03.435,2021-02-11 08:41:03.435,10,1.4444444,7.79,0.33,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:36:59.999,506b2844-5e8a-a9c9-d145-3a6ba538ca8e,
4994,4,0,12,2021-02-11 08:03:00.000,230002,,2021-02-11 08:04:28.348,2021-02-11 08:04:28.348,12,1.9722222,9.85,0.33,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:03:59.999,4f13e9ab-74c5-3899-f674-145fb01fc452,
15306,4,0,23,2021-02-11 08:18:00.000,230002,,2021-02-11 08:22:42.310,2021-02-11 08:18:35.250,23,1.0844966,16.6,0.95,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:18:59.999,9abc645c-c1c2-af58-458d-660806aa5ed2,
14999,4,0,24,2021-02-11 08:29:00.000,230002,,2021-02-11 08:32:33.305,2021-02-11 08:32:33.304,24,1.1666666,17.5,0.79,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:29:59.999,12000708-4143-34ab-9ac4-69240e8c151c,
32039,4,0,55,2021-02-11 08:37:00.000,230002,,2021-02-11 08:41:03.445,2021-02-11 08:41:03.445,55,1.2222222,39.16,2.14,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:37:59.999,e90378db-4a4a-f97b-bea5-48dc74291aaa,
18218,4,0,34,2021-02-11 05:48:00.000,230002,,2021-02-11 05:50:02.053,2021-02-11 05:50:02.045,34,1.4166666,25.81,1.2,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:48:59.999,6f0015db-1d6a-ac8b-867f-073b1be5f19e,
16821,4,0,26,2021-02-11 06:11:00.000,230002,,2021-02-11 06:15:00.132,2021-02-11 06:15:00.131,26,1.1111112,18.69,0.88,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:11:59.999,fb9dca23-d259-a591-cfa3-3a608e4c1246,
5276,4,0,16,2021-02-11 08:30:00.000,230002,,2021-02-11 08:32:33.313,2021-02-11 08:32:33.312,16,2.5,13.19,0.44,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:30:59.999,cb1cac40-db60-190b-2a99-d50dd9486c1c,
18834,4,0,32,2021-02-11 08:39:00.000,230002,,2021-02-11 08:41:03.456,2021-02-11 08:41:03.455,32,1.2222222,23.02,1.15,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 08:39:59.999,c3fae9b8-e825-5f5d-4074-5cdde1c0cc63,
