com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3071,e6fc6c64-5ab6-4fd9-abce-abd9246bed87.binning_data.json,2013650,6000,0,2020-04-22 22:00:01.629,com.sec.android.app.shealth,2020-04-22 22:00:01.629,,1.6548176,2173.46,126.7,3071,F5JW66Upzd,com.sec.android.app.shealth,0,e6fc6c64-5ab6-4fd9-abce-abd9246bed87.achievement.json,e6fc6c64-5ab6-4fd9-abce-abd9246bed87,1587513600000,
12011,bc2baea6-f51a-4068-9ce6-caf39538553c.binning_data.json,6832385,6000,124,2020-04-21 22:15:03.829,com.sec.android.app.shealth,2020-04-21 02:15:02.258,bc2baea6-f51a-4068-9ce6-caf39538553c.source_info.json,1.3185787,9009.038,455.499,11887,VfS0qUERdZ,com.sec.android.app.shealth,0,bc2baea6-f51a-4068-9ce6-caf39538553c.achievement.json,bc2baea6-f51a-4068-9ce6-caf39538553c,1587427200000,
1992,e38cd8d0-0d18-4420-bc54-4564ed0f1d7e.binning_data.json,1142467,6000,73,2020-04-28 21:55:06.421,com.sec.android.app.shealth,2020-04-28 08:27:04.343,,2.75,1483.661,75.039,1919,ltHsc2Rtmp,com.sec.android.app.shealth,0,e38cd8d0-0d18-4420-bc54-4564ed0f1d7e.achievement.json,e38cd8d0-0d18-4420-bc54-4564ed0f1d7e,1588032000000,
5342,40019573-bbe6-45e0-8a91-ccdb7860cf2a.binning_data.json,3474962,6000,2,2020-04-24 22:00:00.608,com.sec.android.app.shealth,2020-04-24 22:00:00.608,,1.8598218,3880.18,211.68,5340,F5JW66Upzd,com.sec.android.app.shealth,0,40019573-bbe6-45e0-8a91-ccdb7860cf2a.achievement.json,40019573-bbe6-45e0-8a91-ccdb7860cf2a,1587686400000,
7565,d78f91de-aad5-4970-a09e-039a89bcadc1.binning_data.json,4445943,6000,95,2020-04-23 23:55:04.565,com.sec.android.app.shealth,2020-04-23 03:35:08.308,d78f91de-aad5-4970-a09e-039a89bcadc1.source_info.json,1.2631087,5615.71,288.11,7470,VfS0qUERdZ,com.sec.android.app.shealth,0,d78f91de-aad5-4970-a09e-039a89bcadc1.achievement.json,d78f91de-aad5-4970-a09e-039a89bcadc1,1587600000000,
3501,95c15151-5c57-4440-8cb9-34c382e6af30.binning_data.json,2232127,6000,0,2020-04-26 22:00:01.571,com.sec.android.app.shealth,2020-04-26 22:00:01.571,,1.3125,2446.91,161.43,3501,F5JW66Upzd,com.sec.android.app.shealth,0,95c15151-5c57-4440-8cb9-34c382e6af30.achievement.json,95c15151-5c57-4440-8cb9-34c382e6af30,1587859200000,
3199,a60f61ba-0ab5-4ce3-91a9-5c2f973e0c11.binning_data.json,1819252,6000,42,2020-04-30 23:20:05.083,com.sec.android.app.shealth,2020-04-30 00:54:26.055,,2.9444442,2412.293,120.331,3157,ltHsc2Rtmp,com.sec.android.app.shealth,0,a60f61ba-0ab5-4ce3-91a9-5c2f973e0c11.achievement.json,a60f61ba-0ab5-4ce3-91a9-5c2f973e0c11,1588204800000,
1338,fdef29d7-2c44-4f51-8001-3cdf0fbd0c94.binning_data.json,838935,6000,1,2020-04-28 22:00:01.556,com.sec.android.app.shealth,2020-04-28 22:00:01.556,,3.8888886,974.82996,52.25,1337,F5JW66Upzd,com.sec.android.app.shealth,0,fdef29d7-2c44-4f51-8001-3cdf0fbd0c94.achievement.json,fdef29d7-2c44-4f51-8001-3cdf0fbd0c94,1588032000000,
8791,e7499b10-3de6-4b45-8693-0c011ef832d2.binning_data.json,5309337,6000,129,2020-04-25 23:15:04.607,com.sec.android.app.shealth,2020-04-25 00:49:57.786,e7499b10-3de6-4b45-8693-0c011ef832d2.source_info.json,1.2266824,6512.87,337.06,8662,VfS0qUERdZ,com.sec.android.app.shealth,0,e7499b10-3de6-4b45-8693-0c011ef832d2.achievement.json,e7499b10-3de6-4b45-8693-0c011ef832d2,1587772800000,
7122,b9111fc8-43f9-4b94-9c26-63cdadccc67e.binning_data.json,4028182,6000,47,2020-05-02 22:55:04.596,com.sec.android.app.shealth,2020-05-02 02:50:30.244,,2.4722226,5290.049,254.78,7075,ltHsc2Rtmp,com.sec.android.app.shealth,0,b9111fc8-43f9-4b94-9c26-63cdadccc67e.achievement.json,b9111fc8-43f9-4b94-9c26-63cdadccc67e,1588377600000,
636,b9211a87-5a3c-47bf-bde9-87ddf007c54f.binning_data.json,404496,6000,0,2020-04-30 22:00:00.746,com.sec.android.app.shealth,2020-04-30 22:00:00.746,,1.75,468.84003,23.519999,636,F5JW66Upzd,com.sec.android.app.shealth,0,b9211a87-5a3c-47bf-bde9-87ddf007c54f.achievement.json,b9211a87-5a3c-47bf-bde9-87ddf007c54f,1588204800000,
5962,859f137b-5b8a-4b37-a2be-253270c9db91.binning_data.json,3513962,6000,68,2020-05-04 23:35:03.076,com.sec.android.app.shealth,2020-05-04 03:35:05.009,,5.8333335,4423.159,220.661,5894,ltHsc2Rtmp,com.sec.android.app.shealth,0,859f137b-5b8a-4b37-a2be-253270c9db91.achievement.json,859f137b-5b8a-4b37-a2be-253270c9db91,1588550400000,
