com.samsung.shealth.stand_day_summary,6156001,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
262144,2020-12-16 17:02:46.730,2020-12-15 23:00:06.787,ltHsc2Rtmp,com.sec.android.app.shealth,effc1ac9-f948-235e-0bd9-26f5900730f6,1608076800000,
557056,2020-12-22 18:19:03.259,2020-12-21 23:00:13.785,ltHsc2Rtmp,com.sec.android.app.shealth,9c97cc02-e0fd-26e3-e2ea-d7131b08328f,1608595200000,
4206592,2020-12-28 21:25:22.297,2020-12-27 23:00:05.884,ltHsc2Rtmp,com.sec.android.app.shealth,1ff8035c-e5e9-1759-c863-778c69891ed5,1609113600000,
2148352,2021-01-03 20:52:38.415,2021-01-02 23:00:07.130,ltHsc2Rtmp,com.sec.android.app.shealth,c653df1b-9c01-658c-0f5a-e91f14cbc41f,1609632000000,
35328,2021-01-09 14:18:48.273,2021-01-08 23:00:11.667,ltHsc2Rtmp,com.sec.android.app.shealth,effb7930-fe3c-1836-ca7b-373165563e9d,1610150400000,
336640,2021-01-15 17:58:31.303,2021-01-14 23:00:03.587,ltHsc2Rtmp,com.sec.android.app.shealth,456cf202-b212-bc32-bf81-84267ed99776,1610668800000,
804864,2021-01-21 18:50:17.310,2021-01-20 23:00:03.078,ltHsc2Rtmp,com.sec.android.app.shealth,2a6f904f-e74b-30a0-659c-6920666616fa,1611187200000,
4489728,2021-01-27 21:28:44.321,2021-01-26 23:00:03.326,ltHsc2Rtmp,com.sec.android.app.shealth,3fc6eefd-16ce-8825-347b-90db8dcb2432,1611705600000,
4489216,2021-02-02 21:34:58.257,2021-02-01 23:00:04.755,ltHsc2Rtmp,com.sec.android.app.shealth,ecf9daaa-1011-92ac-2193-2102fe3659e8,1612224000000,
16896,2021-02-08 13:21:14.701,2021-02-07 23:00:11.881,ltHsc2Rtmp,com.sec.android.app.shealth,39909326-bddd-132f-79b4-74c071562ca4,1612742400000,
6439424,2021-02-14 21:50:57.291,2021-02-13 23:00:07.917,ltHsc2Rtmp,com.sec.android.app.shealth,30154c00-8047-c762-ab52-979e7ab9c92a,1613260800000,
4197376,2021-02-20 21:08:15.242,2021-02-19 23:00:05.856,ltHsc2Rtmp,com.sec.android.app.shealth,9a6e5042-a0cd-c547-db6c-cb25d2769580,1613779200000,
131072,2021-02-26 16:37:13.267,2021-02-25 23:00:10.765,ltHsc2Rtmp,com.sec.android.app.shealth,e5c42062-ecbb-b2d8-883f-f25401e04adf,1614297600000,
561152,2021-03-04 18:02:34.408,2021-03-03 23:00:10.699,ltHsc2Rtmp,com.sec.android.app.shealth,29df5414-20e1-0dba-3c2e-c3aa9cf462a3,1614816000000,
2592,2021-03-10 10:21:58.672,2021-03-09 23:00:04.225,ltHsc2Rtmp,com.sec.android.app.shealth,8eafbb53-55e4-e592-d912-4a3bb7aaa749,1615334400000,
672512,2021-03-16 18:19:10.248,2021-03-15 23:00:08.382,ltHsc2Rtmp,com.sec.android.app.shealth,4dbd84ad-62f8-2936-ee38-398f8ce8d51b,1615852800000,
66560,2020-04-09 14:04:23.160,2020-04-08 22:00:15.143,ltHsc2Rtmp,com.sec.android.app.shealth,f6bce208-e83d-fe7f-35d9-3f7672fee6cd,1586390400000,
16384,2020-04-15 12:16:54.325,2020-04-14 22:00:12.091,ltHsc2Rtmp,com.sec.android.app.shealth,7c18f69e-aff7-47aa-41aa-134d1e438d5f,1586908800000,
1310720,2020-03-24 19:15:46.280,2020-03-24 09:27:08.161,ltHsc2Rtmp,com.sec.android.app.shealth,e435dda1-6a7a-1e7e-d686-81ca3bd1490d,1585008000000,
560128,2020-03-30 17:55:46.346,2020-03-29 22:00:10.113,ltHsc2Rtmp,com.sec.android.app.shealth,8aa76da6-707b-1116-afc9-d472be549462,1585526400000,
132096,2020-04-19 15:33:58.277,2020-04-18 22:00:06.166,ltHsc2Rtmp,com.sec.android.app.shealth,07fb0d8a-7931-679a-857e-14f68e90a4a7,1587254400000,
4227072,2020-04-25 20:45:33.343,2020-04-24 22:00:09.258,ltHsc2Rtmp,com.sec.android.app.shealth,38241856-e28c-4383-9eb8-95781b86c069,1587772800000,
8949760,2020-05-01 21:07:01.304,2020-04-30 22:00:14.885,ltHsc2Rtmp,com.sec.android.app.shealth,be2745d6-b81e-7922-d9b0-5fa2490a713c,1588291200000,
4789280,2020-05-07 20:21:45.862,2020-05-06 22:00:03.397,ltHsc2Rtmp,com.sec.android.app.shealth,3f3e3380-ac7c-62d1-b592-0e88f1c268c4,1588809600000,
3245072,2020-05-13 19:32:20.304,2020-05-12 22:00:10.555,ltHsc2Rtmp,com.sec.android.app.shealth,bafadc87-836b-4680-f2aa-da3d0a5c2856,1589328000000,
9707520,2020-05-19 21:18:26.324,2020-05-18 22:00:03.412,ltHsc2Rtmp,com.sec.android.app.shealth,0adbf657-d0b3-88cb-e5eb-ffe2f3080fa1,1589846400000,
