com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-18 22:00:00.000,,100003,,2020-04-26 08:35:37.773,2020-04-26 08:35:37.773,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,c3d4c22e-13cd-4d0a-a202-d733816858a2,1,
,2020-03-28 23:00:00.000,,2399999,,2020-04-24 20:59:39.070,2020-04-15 10:47:23.489,,,tracker_pedometer_reward_target_achieved,UTC+0100,"{""mTarget"":6000,""mValue"":6592}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-03-28 23:00:00.000,6c21304e-fad0-4d1e-ab76-8d2f1a448800,1,
,2020-04-06 22:00:00.000,,100003,,2020-05-04 20:17:53.802,2020-04-15 10:47:24.236,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":6213}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-06 22:00:00.000,91022823-bebe-4f60-a127-9134ffe29ff2,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-27 05:15:05.452,2020-04-27 05:15:05.452,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,ca075920-3463-451c-8edf-ef08ec64daed,1,
,2020-03-27 23:00:00.000,,100003,,2020-04-24 20:59:41.077,2020-04-15 10:47:25.166,,,tracker_pedometer_reward_target_achieved,UTC+0100,"{""mTarget"":6000,""mValue"":6000}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-03-27 23:00:00.000,c21de697-f4b3-4bd2-b15e-78ff39e11883,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-26 17:29:38.048,2020-04-26 17:29:38.048,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,63caae1d-1592-40fd-bd9f-f2eec1d3279a,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-28 08:27:04.825,2020-04-28 08:27:04.825,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,fc948b94-187f-4f86-a321-bdfc7fa22b89,1,
,2020-04-15 22:00:00.000,,10009,,2020-04-21 22:00:00.640,2020-04-16 13:18:08.891,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":8065}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-15 22:00:00.000,dee30a8b-50f6-4725-a2e7-388c4beb0fd4,1,
,2020-04-16 22:00:00.000,,2399999,,2020-05-14 21:30:11.858,2020-04-17 11:55:03.993,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":10764}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-16 22:00:00.000,094bc59f-0e04-430c-be93-834f6ccff6a0,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-29 01:30:31.485,2020-04-29 01:30:31.485,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,40b4e644-78ef-43e7-b525-0c4789896b17,1,
